Название,"Название, англ.","Значок","EmojiXpress, млн","Instagram, млн","Твиттер, млн"
Ухмыляюсь,Grinning,![image](https://pictures.s3.yandex.net/resources/grinning_1548433261.png),2.26,1.02,87.3
Сияю от радости,Beaming,![image](https://pictures.s3.yandex.net/resources/beaming_1548433320.png),19.1,1.69,150
Катаюсь от смеха,ROFL,![image](https://pictures.s3.yandex.net/resources/rofl_1548434213.png),25.6,0.774,0\*
Слёзы радости,Tears of Joy,![image](https://pictures.s3.yandex.net/resources/tears_of_joy_1548434310.png),233,7.31,2270
Подмигиваю,Winking,![image](https://pictures.s3.yandex.net/resources/winking_1548434459.png),15.2,2.36,264
Счастлив,Happy,![image](https://pictures.s3.yandex.net/resources/happy_1548433353.png),22.7,4.26,565
Глаза-сердца,Heart Eyes,![image](https://pictures.s3.yandex.net/resources/heart_eyes_1548433552.png),64.6,11.2,834
Целую,Kissing,![image](https://pictures.s3.yandex.net/resources/kiss_1550134575.png),87.5,5.13,432
Задумчивость,Thinking,![image](https://pictures.s3.yandex.net/resources/thinking_1548434338.png),6.81,0.636,0\*
Равнодушие,Unamused,![image](https://pictures.s3.yandex.net/resources/unamused_1548434431.png),6,0.236,478
Солнечные очки,Sunglasses,![image](https://pictures.s3.yandex.net/resources/sunglasses_1548434276.png),4.72,3.93,198
Громко плачу,Loudly Crying,![image](https://pictures.s3.yandex.net/resources/loudly_crying_1548434142.png),24.7,1.35,654
След от поцелуя,Kiss Mark,![image](https://pictures.s3.yandex.net/resources/kiss_mark_1548434044.png),21.7,2.87,98.7
Два сердца,Two Hearts,![image](https://pictures.s3.yandex.net/resources/two_hearts_1548434406.png),10,5.69,445
Сердце,Heart,![image](https://pictures.s3.yandex.net/resources/heart_1548434021.png),118,26,1080
Червы,Heart Suit,![image](https://pictures.s3.yandex.net/resources/heart_suit_1548433976.png),3.31,1.82,697
Класс,Thumbs Up,![image](https://pictures.s3.yandex.net/resources/thumbs_up_1548434370.png),23.1,3.75,227
Пожимаю плечами,Shrugging,![image](https://pictures.s3.yandex.net/resources/shrugging_1548434247.png),1.74,0.11,0\*
Огонь,Fire,![image](https://pictures.s3.yandex.net/resources/fire_1548433219.png),4.5,2.49,150
Переработка,Recycle,![image](https://pictures.s3.yandex.net/resources/recycle_1548434177.png),0.0333,0.056,932
